"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Feb 19 12:37:59 IST 2023","Sun Feb 19 12:38:06 IST 2023","6674"," Footage | Search term | Existence and sorting m","","","","","Verify: 70% of the returned clips per search term exist in data set | grain",""
"passed","Sun Feb 19 12:40:38 IST 2023","Sun Feb 19 12:40:45 IST 2023","6737"," Footage | Search term | Existence and sorting m","","","","","Verify: 70% of the returned clips per search term exist in data set | staircase step up",""
"failed","Sun Feb 19 12:43:32 IST 2023","Sun Feb 19 12:43:39 IST 2023","6970"," Footage | Search term | Existence and sorting m","","","","","Verify: 70% of the returned clips per search term exist in data set | vj",""
"passed","Sun Feb 19 12:34:52 IST 2023","Sun Feb 19 12:34:56 IST 2023","4265"," Footage | Search term | Existence and sorting m","","","","","Verify: 70% of the returned clips per search term exist in data set | community",""
"passed","Sun Feb 19 12:35:24 IST 2023","Sun Feb 19 12:35:27 IST 2023","3088"," Footage | Search term | Existence and sorting m","","","","","Verify: 70% of the returned clips per search term exist in data set | ego",""
"passed","Sun Feb 19 12:36:38 IST 2023","Sun Feb 19 12:36:59 IST 2023","20882"," Footage | Search term | Existence and sorting m","","","","","Verify: 70% of the returned clips per search term exist in data set | friends in car at night ignition starting",""
"passed","Sun Feb 19 12:40:28 IST 2023","Sun Feb 19 12:40:38 IST 2023","10060"," Footage | Search term | Existence and sorting m","","","","","Verify: 70% of the returned clips per search term exist in data set | seoul",""
"passed","Sun Feb 19 12:39:57 IST 2023","Sun Feb 19 12:40:07 IST 2023","9489"," Footage | Search term | Existence and sorting m","","","","","Verify: 70% of the returned clips per search term exist in data set | research",""
"failed","Sun Feb 19 12:38:33 IST 2023","Sun Feb 19 12:38:41 IST 2023","7511"," Footage | Search term | Existence and sorting m","","","","","Verify: 70% of the returned clips per search term exist in data set | horror",""
"passed","Sun Feb 19 12:39:07 IST 2023","Sun Feb 19 12:39:17 IST 2023","9734"," Footage | Search term | Existence and sorting m","","","","","Verify: 70% of the returned clips per search term exist in data set | pattern",""
"passed","Sun Feb 19 12:33:29 IST 2023","Sun Feb 19 12:34:35 IST 2023","66082"," Footage | Search term | Existence and sorting m","","","","","Verify: 70% of the returned clips per search term exist in data set | 16mm",""
"passed","Sun Feb 19 12:37:08 IST 2023","Sun Feb 19 12:37:25 IST 2023","17101"," Footage | Search term | Existence and sorting m","","","","","Verify: 70% of the returned clips per search term exist in data set | glitch",""
"passed","Sun Feb 19 12:35:27 IST 2023","Sun Feb 19 12:35:31 IST 2023","4302"," Footage | Search term | Existence and sorting m","","","","","Verify: 70% of the returned clips per search term exist in data set | emotion",""
"failed","Sun Feb 19 12:40:17 IST 2023","Sun Feb 19 12:40:23 IST 2023","6598"," Footage | Search term | Existence and sorting m","","","","","Verify: 70% of the returned clips per search term exist in data set | screen medical info doctor",""
"passed","Sun Feb 19 12:34:57 IST 2023","Sun Feb 19 12:35:02 IST 2023","4176"," Footage | Search term | Existence and sorting m","","","","","Verify: 70% of the returned clips per search term exist in data set | consumerism",""
"passed","Sun Feb 19 12:35:02 IST 2023","Sun Feb 19 12:35:06 IST 2023","4202"," Footage | Search term | Existence and sorting m","","","","","Verify: 70% of the returned clips per search term exist in data set | discussion between husband and wife",""
